A_star,B_star
1.0,10.0
3.0,100.0
2.0,100.0
2.0,1000.0
2.0,1000.0
1.0,100.0
2.0,10.0
1.0,
2.0,100.0
,
1.0,100.0
1.0,1000.0
1.0,
1.0,
1.0,10.0
3.0,
1.0,10.0
2.0,100.0
3.0,
1.0,100.0
2.0,10.0
2.0,100.0
1.0,10.0
1.0,
2.0,100.0
,
2.0,1000.0
1.0,1000.0
2.0,1000.0
2.0,100.0
1.0,10.0
,
2.0,100.0
1.0,10.0
1.0,10.0
2.0,10.0
1.0,
1.0,
3.0,1000.0
1.0,
1.0,10.0
2.0,100.0
3.0,1000.0
2.0,10.0
2.0,10.0
2.0,1000.0
1.0,10.0
3.0,1000.0
,
,10.0
1.0,
1.0,10.0
1.0,10.0
1.0,
3.0,
,10.0
,10.0
3.0,1000.0
1.0,
1.0,
,10.0
1.0,
1.0,1000.0
2.0,100.0
1.0,1000.0
,10.0
2.0,100.0
3.0,1000.0
3.0,
3.0,100.0
2.0,1000.0
1.0,100.0
1.0,1000.0
,10.0
1.0,10.0
3.0,1000.0
1.0,100.0
2.0,100.0
2.0,10.0
3.0,1000.0
1.0,100.0
2.0,100.0
1.0,1000.0
3.0,100.0
,10.0
1.0,
1.0,
1.0,1000.0
1.0,10.0
3.0,1000.0
1.0,10.0
1.0,10.0
1.0,10.0
3.0,
1.0,
1.0,
3.0,
1.0,
1.0,
2.0,10.0
,10.0
3.0,1000.0
1.0,10.0
1.0,10.0
3.0,
2.0,10.0
2.0,100.0
1.0,
1.0,100.0
2.0,100.0
1.0,1000.0
1.0,
,10.0
1.0,100.0
2.0,100.0
,10.0
1.0,
3.0,1000.0
2.0,100.0
3.0,1000.0
1.0,10.0
1.0,
1.0,10.0
1.0,
2.0,1000.0
,10.0
1.0,100.0
2.0,100.0
2.0,100.0
,10.0
1.0,10.0
1.0,100.0
2.0,100.0
2.0,100.0
1.0,10.0
1.0,10.0
3.0,10.0
2.0,100.0
2.0,1000.0
1.0,10.0
1.0,10.0
1.0,10.0
,10.0
3.0,10.0
2.0,100.0
3.0,1000.0
2.0,1000.0
2.0,100.0
2.0,1000.0
1.0,10.0
2.0,10.0
,10.0
,10.0
3.0,10.0
1.0,10.0
2.0,100.0
,10.0
1.0,1000.0
2.0,1000.0
2.0,100.0
1.0,1000.0
3.0,1000.0
1.0,100.0
2.0,1000.0
2.0,100.0
,10.0
,10.0
3.0,100.0
1.0,1000.0
1.0,
1.0,10.0
2.0,1000.0
1.0,100.0
1.0,1000.0
,10.0
1.0,1000.0
1.0,10.0
1.0,
2.0,100.0
2.0,100.0
3.0,100.0
1.0,1000.0
2.0,100.0
3.0,1000.0
2.0,10.0
1.0,
2.0,100.0
2.0,100.0
,10.0
,10.0
2.0,100.0
,
2.0,100.0
1.0,
2.0,100.0
2.0,100.0
,10.0
1.0,10.0
,10.0
2.0,10.0
3.0,10.0
2.0,10.0
1.0,10.0
1.0,10.0
1.0,100.0
2.0,100.0
2.0,100.0
,10.0
1.0,10.0
,10.0
3.0,1000.0
2.0,100.0
1.0,1000.0
3.0,1000.0
2.0,100.0
1.0,
1.0,1000.0
,10.0
2.0,1000.0
3.0,10.0
3.0,
2.0,100.0
1.0,
1.0,10.0
2.0,100.0
1.0,10.0
1.0,10.0
1.0,
3.0,1000.0
3.0,1000.0
1.0,1000.0
1.0,1000.0
2.0,100.0
1.0,10.0
1.0,10.0
1.0,10.0
3.0,1000.0
1.0,10.0
2.0,1000.0
2.0,1000.0
2.0,1000.0
1.0,
1.0,
1.0,
,10.0
,10.0
1.0,
3.0,1000.0
,10.0
1.0,1000.0
2.0,100.0
3.0,
2.0,100.0
,10.0
3.0,1000.0
1.0,
1.0,1000.0
1.0,10.0
1.0,100.0
1.0,
,10.0
1.0,10.0
3.0,
3.0,
1.0,100.0
1.0,10.0
1.0,
3.0,
2.0,100.0
,
1.0,10.0
,10.0
1.0,10.0
1.0,100.0
1.0,100.0
2.0,1000.0
2.0,100.0
3.0,
2.0,10.0
2.0,100.0
1.0,10.0
1.0,10.0
,10.0
2.0,100.0
2.0,100.0
1.0,10.0
3.0,1000.0
3.0,1000.0
3.0,
2.0,100.0
1.0,10.0
1.0,10.0
1.0,1000.0
2.0,100.0
,10.0
1.0,100.0
,10.0
3.0,10.0
3.0,
1.0,
1.0,10.0
1.0,1000.0
,
1.0,10.0
2.0,1000.0
2.0,1000.0
2.0,1000.0
3.0,
2.0,100.0
2.0,100.0
3.0,10.0
,10.0
1.0,1000.0
2.0,1000.0
2.0,100.0
3.0,1000.0
,10.0
3.0,100.0
,
2.0,100.0
1.0,1000.0
,10.0
1.0,100.0
1.0,10.0
1.0,10.0
3.0,1000.0
1.0,100.0
1.0,100.0
2.0,10.0
,10.0
,10.0
1.0,1000.0
3.0,100.0
2.0,100.0
1.0,10.0
3.0,1000.0
1.0,
,10.0
1.0,1000.0
1.0,100.0
1.0,1000.0
,
2.0,100.0
3.0,1000.0
2.0,100.0
1.0,10.0
3.0,
1.0,1000.0
1.0,100.0
2.0,10.0
3.0,
3.0,1000.0
3.0,
1.0,10.0
1.0,1000.0
1.0,1000.0
2.0,100.0
1.0,
,
1.0,
3.0,1000.0
1.0,
,10.0
3.0,
3.0,
1.0,10.0
3.0,10.0
3.0,1000.0
3.0,
,
1.0,100.0
2.0,100.0
3.0,
1.0,10.0
2.0,10.0
2.0,1000.0
,10.0
1.0,10.0
1.0,
1.0,
,
1.0,
2.0,10.0
3.0,100.0
1.0,100.0
2.0,100.0
2.0,100.0
3.0,1000.0
3.0,100.0
2.0,100.0
2.0,1000.0
1.0,10.0
2.0,100.0
2.0,1000.0
3.0,
2.0,100.0
2.0,10.0
1.0,1000.0
,
2.0,10.0
,10.0
2.0,100.0
1.0,
1.0,10.0
2.0,100.0
2.0,100.0
1.0,1000.0
,10.0
1.0,10.0
1.0,
1.0,
1.0,
3.0,1000.0
3.0,1000.0
3.0,100.0
,10.0
1.0,10.0
1.0,
1.0,10.0
3.0,10.0
2.0,100.0
3.0,
2.0,100.0
1.0,
3.0,1000.0
3.0,1000.0
1.0,10.0
2.0,100.0
,10.0
1.0,1000.0
1.0,10.0
3.0,1000.0
2.0,100.0
1.0,10.0
2.0,100.0
1.0,10.0
3.0,1000.0
1.0,10.0
3.0,1000.0
1.0,100.0
3.0,
1.0,1000.0
1.0,
1.0,10.0
1.0,1000.0
3.0,
2.0,10.0
2.0,100.0
2.0,1000.0
2.0,100.0
1.0,10.0
,10.0
1.0,10.0
1.0,100.0
3.0,
,10.0
1.0,
2.0,100.0
1.0,
3.0,1000.0
1.0,1000.0
1.0,10.0
2.0,100.0
1.0,10.0
1.0,1000.0
2.0,100.0
2.0,100.0
1.0,100.0
2.0,100.0
,
1.0,100.0
2.0,10.0
1.0,
1.0,10.0
3.0,
2.0,1000.0
1.0,
1.0,
2.0,10.0
1.0,10.0
3.0,1000.0
,
3.0,10.0
3.0,
3.0,
1.0,100.0
2.0,10.0
3.0,100.0
1.0,10.0
1.0,10.0
1.0,100.0
3.0,
1.0,100.0
1.0,
3.0,
2.0,10.0
2.0,100.0
2.0,1000.0
2.0,100.0
,
3.0,10.0
2.0,100.0
1.0,100.0
,10.0
2.0,10.0
1.0,10.0
1.0,10.0
2.0,1000.0
2.0,100.0
2.0,100.0
,10.0
1.0,1000.0
1.0,
3.0,10.0
1.0,
2.0,100.0
1.0,
1.0,10.0
3.0,
1.0,10.0
1.0,10.0
1.0,10.0
1.0,1000.0
3.0,1000.0
2.0,100.0
1.0,100.0
,10.0
1.0,
3.0,1000.0
1.0,100.0
2.0,100.0
3.0,
1.0,10.0
2.0,10.0
1.0,1000.0
2.0,100.0
1.0,1000.0
1.0,10.0
2.0,10.0
3.0,
3.0,1000.0
,10.0
3.0,
3.0,1000.0
1.0,
1.0,100.0
2.0,100.0
3.0,1000.0
2.0,1000.0
3.0,1000.0
3.0,1000.0
3.0,10.0
2.0,1000.0
1.0,
2.0,100.0
1.0,100.0
,10.0
2.0,100.0
2.0,1000.0
2.0,100.0
3.0,10.0
2.0,100.0
2.0,100.0
2.0,100.0
3.0,
3.0,100.0
3.0,
3.0,1000.0
1.0,10.0
3.0,
,10.0
2.0,1000.0
1.0,1000.0
1.0,
1.0,100.0
2.0,100.0
1.0,
1.0,
2.0,100.0
1.0,10.0
2.0,100.0
,10.0
2.0,1000.0
1.0,10.0
1.0,
,10.0
1.0,100.0
3.0,
2.0,100.0
1.0,10.0
1.0,
3.0,
1.0,100.0
1.0,
1.0,1000.0
1.0,10.0
2.0,10.0
1.0,
3.0,10.0
,10.0
1.0,100.0
,10.0
3.0,1000.0
1.0,10.0
1.0,
2.0,1000.0
1.0,10.0
,10.0
2.0,100.0
2.0,10.0
1.0,10.0
2.0,100.0
2.0,100.0
1.0,
2.0,100.0
1.0,100.0
3.0,1000.0
3.0,
2.0,1000.0
1.0,
1.0,100.0
3.0,1000.0
1.0,1000.0
1.0,100.0
1.0,
1.0,100.0
2.0,100.0
1.0,10.0
2.0,1000.0
1.0,
,10.0
1.0,10.0
2.0,1000.0
1.0,
2.0,100.0
,
,10.0
2.0,100.0
1.0,1000.0
1.0,10.0
,
1.0,100.0
2.0,1000.0
1.0,10.0
1.0,10.0
3.0,
2.0,10.0
3.0,1000.0
3.0,
2.0,100.0
2.0,10.0
,
1.0,
2.0,100.0
3.0,100.0
1.0,1000.0
2.0,1000.0
1.0,10.0
3.0,1000.0
2.0,100.0
1.0,10.0
1.0,10.0
3.0,
1.0,100.0
,
1.0,
2.0,100.0
,10.0
2.0,100.0
2.0,100.0
3.0,
,10.0
3.0,
2.0,1000.0
3.0,1000.0
1.0,10.0
2.0,100.0
3.0,1000.0
1.0,100.0
1.0,
2.0,100.0
1.0,10.0
2.0,100.0
1.0,100.0
1.0,
1.0,
2.0,1000.0
1.0,10.0
2.0,1000.0
1.0,
1.0,1000.0
,
1.0,10.0
1.0,100.0
1.0,1000.0
2.0,1000.0
2.0,100.0
2.0,100.0
2.0,100.0
2.0,1000.0
2.0,100.0
3.0,
3.0,
3.0,100.0
2.0,1000.0
1.0,1000.0
1.0,
3.0,10.0
2.0,100.0
2.0,100.0
1.0,
1.0,
1.0,10.0
1.0,10.0
1.0,
2.0,100.0
1.0,
1.0,1000.0
1.0,
,
3.0,10.0
,10.0
2.0,100.0
1.0,10.0
3.0,
3.0,1000.0
2.0,100.0
2.0,100.0
2.0,10.0
,10.0
1.0,10.0
2.0,100.0
2.0,100.0
2.0,100.0
1.0,1000.0
1.0,10.0
3.0,10.0
2.0,100.0
2.0,100.0
1.0,
2.0,100.0
1.0,10.0
1.0,
1.0,10.0
3.0,100.0
2.0,100.0
1.0,
1.0,10.0
,10.0
1.0,100.0
1.0,1000.0
3.0,1000.0
3.0,1000.0
1.0,10.0
1.0,100.0
,10.0
1.0,100.0
2.0,10.0
1.0,
3.0,100.0
2.0,100.0
2.0,10.0
,10.0
2.0,100.0
2.0,10.0
2.0,100.0
2.0,100.0
2.0,100.0
1.0,10.0
1.0,10.0
1.0,10.0
1.0,
1.0,10.0
2.0,100.0
2.0,100.0
2.0,100.0
,
1.0,1000.0
2.0,100.0
1.0,
3.0,
3.0,1000.0
1.0,100.0
1.0,10.0
1.0,10.0
3.0,
3.0,10.0
3.0,
3.0,1000.0
1.0,
1.0,100.0
2.0,100.0
1.0,100.0
1.0,10.0
1.0,1000.0
,10.0
2.0,10.0
3.0,1000.0
1.0,1000.0
1.0,10.0
2.0,100.0
3.0,
1.0,100.0
2.0,100.0
2.0,1000.0
,10.0
1.0,
1.0,1000.0
3.0,
,10.0
2.0,100.0
1.0,10.0
1.0,10.0
3.0,1000.0
2.0,100.0
2.0,10.0
1.0,10.0
,10.0
2.0,100.0
3.0,
1.0,10.0
,10.0
1.0,
2.0,100.0
,
,10.0
1.0,10.0
3.0,10.0
1.0,10.0
2.0,1000.0
,
1.0,10.0
2.0,100.0
1.0,1000.0
2.0,100.0
1.0,1000.0
2.0,1000.0
2.0,100.0
3.0,1000.0
2.0,10.0
1.0,10.0
3.0,1000.0
3.0,
1.0,10.0
1.0,100.0
,10.0
2.0,1000.0
1.0,10.0
1.0,1000.0
2.0,10.0
,
1.0,1000.0
2.0,100.0
1.0,
1.0,
1.0,10.0
2.0,100.0
3.0,10.0
1.0,10.0
3.0,
,10.0
2.0,100.0
1.0,100.0
3.0,1000.0
,10.0
1.0,10.0
1.0,100.0
2.0,100.0
,
3.0,100.0
1.0,
3.0,10.0
1.0,100.0
2.0,100.0
3.0,100.0
2.0,10.0
3.0,
1.0,
2.0,100.0
1.0,1000.0
3.0,
1.0,100.0
2.0,100.0
2.0,100.0
2.0,100.0
1.0,10.0
1.0,10.0
2.0,100.0
2.0,100.0
3.0,1000.0
1.0,1000.0
2.0,1000.0
3.0,
1.0,10.0
2.0,100.0
2.0,1000.0
2.0,100.0
2.0,1000.0
3.0,100.0
3.0,1000.0
1.0,10.0
2.0,1000.0
2.0,100.0
2.0,1000.0
3.0,1000.0
3.0,1000.0
3.0,100.0
1.0,
1.0,1000.0
,
1.0,10.0
2.0,100.0
1.0,10.0
1.0,
2.0,1000.0
2.0,100.0
1.0,10.0
1.0,
1.0,1000.0
,10.0
2.0,1000.0
1.0,10.0
2.0,100.0
1.0,
1.0,
2.0,100.0
,10.0
3.0,
1.0,
1.0,100.0
3.0,1000.0
3.0,
1.0,100.0
,10.0
2.0,100.0
2.0,100.0
,
2.0,100.0
1.0,10.0
1.0,10.0
1.0,100.0
1.0,10.0
2.0,100.0
1.0,1000.0
3.0,1000.0
1.0,
2.0,100.0
,10.0
3.0,1000.0
1.0,100.0
3.0,100.0
1.0,1000.0
1.0,
1.0,1000.0
2.0,100.0
1.0,1000.0
,10.0
2.0,100.0
,
1.0,
1.0,100.0
,10.0
1.0,
2.0,100.0
2.0,100.0
,
1.0,
3.0,1000.0
2.0,100.0
2.0,100.0
1.0,
1.0,10.0
1.0,
2.0,100.0
2.0,100.0
3.0,1000.0
1.0,100.0
1.0,100.0
1.0,100.0
2.0,1000.0
,
2.0,100.0
2.0,10.0
2.0,1000.0
1.0,10.0
,10.0
2.0,10.0
,
3.0,1000.0
,10.0
3.0,1000.0
,
,10.0
2.0,100.0
3.0,10.0
1.0,100.0
2.0,1000.0
3.0,100.0
1.0,
1.0,10.0
3.0,10.0
2.0,1000.0
2.0,100.0
1.0,
2.0,100.0
1.0,1000.0
1.0,10.0
1.0,
3.0,
3.0,
2.0,100.0
1.0,
3.0,
1.0,
2.0,100.0
,10.0
1.0,10.0
1.0,10.0
2.0,100.0
2.0,1000.0
2.0,100.0
2.0,1000.0
,
,10.0
1.0,10.0
1.0,100.0
1.0,
2.0,10.0
1.0,100.0
3.0,1000.0
2.0,100.0
2.0,10.0
1.0,1000.0
2.0,100.0
1.0,10.0
3.0,10.0
2.0,100.0
1.0,
,10.0
,
1.0,1000.0
2.0,1000.0
1.0,10.0
2.0,1000.0
2.0,100.0
3.0,
1.0,1000.0
2.0,100.0
1.0,100.0
3.0,1000.0
1.0,10.0
1.0,
,10.0
3.0,10.0
1.0,10.0
2.0,1000.0
1.0,
2.0,100.0
2.0,100.0
1.0,1000.0
3.0,1000.0
2.0,100.0
2.0,1000.0
2.0,100.0
1.0,1000.0
1.0,
3.0,10.0
2.0,100.0
1.0,10.0
3.0,
3.0,10.0
3.0,10.0
3.0,1000.0
,10.0
1.0,1000.0
3.0,1000.0
1.0,1000.0
,10.0
2.0,1000.0
1.0,1000.0
2.0,100.0
1.0,10.0
3.0,1000.0
1.0,
2.0,100.0
3.0,1000.0
2.0,10.0
1.0,10.0
2.0,1000.0
2.0,100.0
1.0,1000.0
2.0,100.0
1.0,100.0
3.0,1000.0
,
,10.0
2.0,1000.0
,10.0
2.0,1000.0
1.0,100.0
2.0,1000.0
1.0,1000.0
,10.0
2.0,100.0
2.0,100.0
,10.0
,10.0
3.0,
,
1.0,1000.0
1.0,100.0
3.0,
2.0,1000.0
2.0,1000.0
,10.0
1.0,1000.0
1.0,
,10.0
1.0,10.0
2.0,100.0
1.0,
2.0,100.0
3.0,1000.0
3.0,100.0
1.0,10.0
1.0,1000.0
3.0,1000.0
,10.0
2.0,1000.0
1.0,100.0
3.0,
1.0,
,
1.0,
3.0,100.0
2.0,1000.0
1.0,1000.0
3.0,1000.0
1.0,100.0
1.0,100.0
,10.0
1.0,10.0
2.0,100.0
3.0,
2.0,1000.0
3.0,
1.0,10.0
,10.0
1.0,
2.0,1000.0
2.0,100.0
2.0,10.0
1.0,1000.0
1.0,
2.0,1000.0
2.0,100.0
2.0,100.0
3.0,
2.0,1000.0
1.0,
2.0,100.0
1.0,1000.0
2.0,100.0
2.0,100.0
,10.0
3.0,1000.0
1.0,10.0
3.0,100.0
1.0,100.0
3.0,1000.0
,10.0
2.0,10.0
3.0,
1.0,1000.0
2.0,100.0
1.0,10.0
1.0,100.0
,10.0
3.0,
2.0,100.0
3.0,1000.0
3.0,1000.0
1.0,1000.0
2.0,100.0
1.0,1000.0
1.0,10.0
2.0,100.0
2.0,100.0
1.0,
3.0,1000.0
3.0,100.0
,10.0
2.0,100.0
3.0,1000.0
2.0,10.0
,10.0
1.0,
,
1.0,10.0
3.0,
2.0,100.0
1.0,
3.0,1000.0
2.0,10.0
1.0,
1.0,
2.0,100.0
2.0,100.0
1.0,100.0
,10.0
1.0,10.0
2.0,1000.0
2.0,1000.0
1.0,
2.0,1000.0
3.0,1000.0
2.0,100.0
2.0,1000.0
1.0,
1.0,100.0
,10.0
2.0,10.0
3.0,1000.0
1.0,10.0
,10.0
1.0,100.0
,
2.0,1000.0
3.0,1000.0
2.0,100.0
,10.0
3.0,1000.0
1.0,
1.0,1000.0
2.0,1000.0
2.0,1000.0
1.0,10.0
3.0,100.0
2.0,100.0
2.0,100.0
2.0,100.0
1.0,
3.0,1000.0
1.0,10.0
1.0,1000.0
1.0,100.0
1.0,10.0
3.0,10.0
2.0,100.0
2.0,10.0
,
3.0,1000.0
3.0,1000.0
2.0,100.0
3.0,1000.0
3.0,
,10.0
2.0,100.0
3.0,
2.0,100.0
3.0,
1.0,10.0
1.0,10.0
3.0,100.0
3.0,
1.0,10.0
2.0,100.0
1.0,100.0
3.0,
2.0,100.0
2.0,100.0
3.0,100.0
1.0,1000.0
3.0,1000.0
1.0,10.0
,10.0
2.0,1000.0
,10.0
,10.0
1.0,100.0
1.0,1000.0
2.0,100.0
1.0,
1.0,
1.0,10.0
1.0,
1.0,10.0
3.0,100.0
3.0,1000.0
3.0,100.0
3.0,1000.0
1.0,100.0
2.0,100.0
2.0,1000.0
1.0,
1.0,
1.0,
2.0,1000.0
3.0,1000.0
1.0,10.0
3.0,
3.0,10.0
1.0,100.0
,10.0
,10.0
3.0,1000.0
1.0,10.0
,10.0
1.0,
2.0,100.0
3.0,
1.0,10.0
1.0,10.0
1.0,1000.0
1.0,
3.0,1000.0
3.0,
1.0,1000.0
2.0,10.0
1.0,10.0
1.0,10.0
2.0,100.0
3.0,10.0
3.0,1000.0
3.0,1000.0
2.0,1000.0
2.0,100.0
1.0,
2.0,100.0
3.0,
1.0,
1.0,1000.0
1.0,10.0
2.0,100.0
,10.0
,10.0
1.0,1000.0
1.0,10.0
3.0,1000.0
,10.0
1.0,
,
3.0,
2.0,1000.0
3.0,1000.0
2.0,100.0
3.0,100.0
1.0,
3.0,1000.0
1.0,1000.0
3.0,
1.0,100.0
1.0,1000.0
1.0,10.0
,10.0
1.0,10.0
2.0,1000.0
2.0,100.0
1.0,100.0
2.0,100.0
1.0,10.0
2.0,100.0
1.0,100.0
1.0,10.0
1.0,
2.0,1000.0
,10.0
,
3.0,
1.0,10.0
1.0,100.0
1.0,10.0
3.0,1000.0
2.0,1000.0
2.0,100.0
1.0,1000.0
3.0,1000.0
2.0,1000.0
1.0,
2.0,10.0
3.0,
1.0,10.0
1.0,10.0
,
3.0,
3.0,1000.0
1.0,10.0
2.0,100.0
3.0,1000.0
1.0,10.0
2.0,100.0
2.0,100.0
2.0,100.0
1.0,10.0
1.0,10.0
,10.0
3.0,10.0
2.0,100.0
2.0,100.0
2.0,1000.0
3.0,
1.0,
,10.0
2.0,100.0
1.0,100.0
1.0,10.0
2.0,1000.0
2.0,100.0
2.0,100.0
1.0,10.0
1.0,
1.0,1000.0
3.0,100.0
1.0,10.0
3.0,1000.0
,10.0
3.0,
2.0,100.0
3.0,
3.0,
1.0,10.0
3.0,10.0
,10.0
1.0,100.0
2.0,100.0
2.0,1000.0
2.0,100.0
2.0,10.0
1.0,10.0
,10.0
3.0,
,
1.0,10.0
3.0,
2.0,100.0
,
3.0,100.0
2.0,1000.0
2.0,100.0
,10.0
2.0,100.0
2.0,100.0
1.0,100.0
1.0,
1.0,100.0
2.0,100.0
3.0,1000.0
1.0,10.0
1.0,100.0
1.0,10.0
2.0,100.0
3.0,
1.0,1000.0
3.0,1000.0
1.0,
2.0,100.0
1.0,10.0
1.0,100.0
,10.0
1.0,
2.0,10.0
3.0,100.0
2.0,1000.0
1.0,10.0
3.0,1000.0
3.0,1000.0
2.0,1000.0
1.0,100.0
,10.0
1.0,
1.0,1000.0
2.0,1000.0
1.0,10.0
,
3.0,
,
1.0,1000.0
2.0,1000.0
,
3.0,
2.0,100.0
1.0,100.0
2.0,1000.0
3.0,
2.0,100.0
3.0,1000.0
1.0,100.0
2.0,100.0
1.0,
3.0,1000.0
3.0,1000.0
3.0,1000.0
3.0,1000.0
2.0,100.0
1.0,
1.0,
1.0,1000.0
1.0,10.0
1.0,100.0
1.0,
1.0,100.0
1.0,1000.0
1.0,
1.0,1000.0
2.0,10.0
1.0,1000.0
2.0,100.0
3.0,1000.0
3.0,1000.0
1.0,10.0
,10.0
3.0,
1.0,10.0
1.0,10.0
1.0,1000.0
1.0,10.0
1.0,10.0
2.0,10.0
3.0,
1.0,
1.0,10.0
3.0,1000.0
1.0,1000.0
3.0,10.0
1.0,10.0
2.0,1000.0
1.0,100.0
1.0,
2.0,100.0
2.0,100.0
1.0,10.0
1.0,10.0
1.0,10.0
3.0,100.0
1.0,1000.0
2.0,10.0
2.0,100.0
2.0,100.0
1.0,10.0
1.0,
1.0,100.0
2.0,100.0
1.0,10.0
,10.0
2.0,1000.0
1.0,10.0
1.0,10.0
1.0,10.0
1.0,10.0
,10.0
3.0,1000.0
3.0,1000.0
2.0,100.0
3.0,1000.0
2.0,100.0
3.0,10.0
1.0,10.0
3.0,
3.0,1000.0
3.0,
1.0,10.0
2.0,1000.0
1.0,1000.0
,10.0
2.0,100.0
1.0,
1.0,10.0
1.0,10.0
1.0,100.0
2.0,1000.0
1.0,10.0
1.0,1000.0
1.0,10.0
3.0,1000.0
1.0,
1.0,1000.0
1.0,
,10.0
3.0,1000.0
3.0,1000.0
1.0,
3.0,
3.0,
1.0,10.0
2.0,1000.0
,10.0
2.0,100.0
1.0,
2.0,10.0
2.0,100.0
2.0,1000.0
1.0,
,10.0
1.0,
1.0,
,10.0
1.0,
3.0,1000.0
,
1.0,1000.0
1.0,10.0
1.0,1000.0
2.0,100.0
3.0,1000.0
2.0,1000.0
2.0,10.0
1.0,100.0
3.0,100.0
1.0,1000.0
3.0,1000.0
3.0,10.0
1.0,
3.0,100.0
2.0,10.0
,10.0
2.0,10.0
2.0,1000.0
3.0,1000.0
1.0,10.0
1.0,10.0
1.0,
1.0,
2.0,100.0
1.0,10.0
1.0,100.0
3.0,1000.0
2.0,100.0
2.0,1000.0
2.0,100.0
2.0,100.0
3.0,
3.0,1000.0
1.0,10.0
1.0,10.0
1.0,10.0
2.0,100.0
1.0,10.0
1.0,100.0
2.0,100.0
1.0,
1.0,1000.0
3.0,100.0
1.0,1000.0
,10.0
1.0,1000.0
1.0,10.0
1.0,
3.0,1000.0
3.0,1000.0
1.0,10.0
,10.0
2.0,100.0
1.0,10.0
3.0,10.0
2.0,100.0
1.0,10.0
2.0,1000.0
1.0,
2.0,100.0
1.0,
2.0,100.0
1.0,10.0
2.0,100.0
1.0,10.0
,
2.0,100.0
3.0,100.0
2.0,100.0
3.0,
2.0,100.0
2.0,100.0
1.0,1000.0
2.0,100.0
2.0,100.0
2.0,1000.0
2.0,100.0
1.0,1000.0
2.0,1000.0
1.0,10.0
1.0,
2.0,100.0
1.0,1000.0
2.0,1000.0
,10.0
2.0,1000.0
,10.0
1.0,
1.0,
3.0,100.0
2.0,10.0
1.0,100.0
2.0,1000.0
2.0,100.0
2.0,100.0
3.0,1000.0
1.0,
1.0,10.0
3.0,1000.0
1.0,
1.0,10.0
2.0,100.0
3.0,
3.0,100.0
,10.0
1.0,1000.0
,10.0
,
2.0,100.0
1.0,1000.0
2.0,1000.0
1.0,
2.0,100.0
1.0,10.0
,10.0
3.0,
2.0,100.0
2.0,1000.0
1.0,100.0
2.0,1000.0
,10.0
1.0,100.0
,10.0
1.0,1000.0
1.0,1000.0
1.0,1000.0
,10.0
2.0,1000.0
2.0,100.0
3.0,
,
3.0,100.0
1.0,10.0
3.0,1000.0
1.0,
2.0,1000.0
2.0,1000.0
1.0,1000.0
2.0,100.0
1.0,
,10.0
1.0,
1.0,1000.0
1.0,10.0
1.0,10.0
1.0,10.0
3.0,
1.0,
2.0,100.0
3.0,
,10.0
2.0,100.0
1.0,10.0
2.0,100.0
1.0,10.0
,10.0
2.0,100.0
,10.0
1.0,100.0
2.0,10.0
,10.0
3.0,1000.0
1.0,10.0
1.0,100.0
,10.0
2.0,100.0
1.0,10.0
1.0,100.0
2.0,100.0
1.0,
,
3.0,1000.0
3.0,1000.0
1.0,
2.0,1000.0
1.0,
2.0,100.0
2.0,100.0
,10.0
,10.0
3.0,1000.0
3.0,1000.0
1.0,
2.0,10.0
1.0,
2.0,10.0
,10.0
3.0,100.0
2.0,1000.0
1.0,100.0
1.0,
1.0,1000.0
3.0,1000.0
1.0,
1.0,
1.0,
2.0,100.0
2.0,100.0
1.0,10.0
3.0,1000.0
2.0,10.0
,
3.0,
3.0,
2.0,100.0
1.0,100.0
2.0,10.0
,
2.0,1000.0
2.0,100.0
2.0,10.0
1.0,1000.0
1.0,
3.0,1000.0
1.0,10.0
1.0,10.0
2.0,1000.0
1.0,
3.0,10.0
1.0,1000.0
1.0,10.0
2.0,1000.0
1.0,10.0
2.0,100.0
,
,
2.0,1000.0
1.0,1000.0
1.0,
1.0,10.0
3.0,100.0
1.0,100.0
3.0,100.0
3.0,10.0
1.0,1000.0
,
2.0,100.0
1.0,10.0
2.0,1000.0
,
1.0,10.0
2.0,100.0
,
2.0,1000.0
3.0,1000.0
2.0,100.0
2.0,100.0
3.0,1000.0
1.0,1000.0
3.0,10.0
2.0,10.0
2.0,100.0
3.0,1000.0
1.0,100.0
2.0,10.0
2.0,1000.0
1.0,1000.0
1.0,1000.0
3.0,1000.0
1.0,1000.0
2.0,100.0
2.0,10.0
3.0,1000.0
3.0,1000.0
1.0,
2.0,100.0
1.0,
1.0,100.0
2.0,100.0
1.0,
1.0,
1.0,10.0
1.0,100.0
2.0,100.0
1.0,10.0
3.0,
2.0,10.0
2.0,1000.0
2.0,100.0
3.0,
2.0,100.0
2.0,10.0
1.0,
1.0,10.0
1.0,1000.0
1.0,
2.0,100.0
1.0,
2.0,100.0
3.0,100.0
,10.0
2.0,100.0
3.0,100.0
1.0,
2.0,10.0
1.0,100.0
2.0,100.0
1.0,
,10.0
1.0,10.0
3.0,1000.0
2.0,100.0
1.0,
1.0,1000.0
1.0,
1.0,100.0
1.0,1000.0
1.0,10.0
3.0,1000.0
1.0,100.0
2.0,100.0
,10.0
1.0,10.0
3.0,1000.0
2.0,1000.0
,10.0
2.0,10.0
1.0,100.0
1.0,
1.0,
,
2.0,10.0
2.0,100.0
3.0,
,10.0
3.0,100.0
2.0,100.0
3.0,1000.0
3.0,100.0
1.0,100.0
2.0,100.0
